T,Po,U,Ff,RRR
14.2,563.7,89,3,0
17.2,565.3,65,5,0
16.6,566.3,75,3,0
12.8,565.3,89,1,0
15.6,564.8,87,3,1
18.7,563.7,62,6,0
13.0,565.8,94,0,1
10.6,566.0,97,2,1
12.6,565.8,94,1,1
14.3,564.7,79,3,1
15.5,564.5,85,3,1
6.8,566.1,80,1,1
15.7,564.8,73,3,0
11.7,565.9,90,2,0
13.1,564.7,86,2,1
8.5,565.7,99,1,1
9.5,565.5,87,2,1
11.7,565.5,85,3,1
17.2,565.8,58,2,0
13.5,564.0,91,3,1
10.5,565.5,98,1,1
12.9,566.5,94,1,0
13.4,566.1,94,3,1
14.8,564.9,84,2,1
17.0,564.1,75,3,1
16.6,565.1,79,2,1
11.7,565.5,91,2,0
12.7,566.0,94,1,0
13.0,565.2,95,1,1
13.1,564.6,97,1,0
13.2,565.5,96,1,1
12.8,565.2,96,2,1
19.8,565.4,57,5,0
16.1,566.6,79,2,0
12.8,565.5,87,3,1
12.6,564.6,92,2,1
17.9,564.2,63,6,0
10.5,566.0,97,2,0
9.5,566.0,99,2,0
15.4,565.5,70,2,1
17.0,564.8,74,3,0
11.5,566.3,83,3,1
12.2,566.1,96,2,1
15.0,564.5,86,2,0
17.0,563.5,79,6,0
11.7,565.2,97,0,1
12.0,565.8,96,1,0
16.0,564.6,69,3,0
11.9,565.6,82,4,1
14.0,566.3,76,1,1
10.7,565.2,93,4,1
21.0,563.9,52,4,0
18.1,565.5,59,3,0
11.8,564.9,96,2,1
13.6,564.0,88,3,0
14.6,564.2,86,4,0
16.2,563.4,81,6,0
13.4,565.3,88,1,0
14.1,566.4,88,3,1
13.3,566.1,90,3,1
18.1,565.2,66,3,0
17.1,566.8,73,1,0
12.7,566.1,94,1,1
12.7,564.9,96,2,0
13.7,565.6,90,1,1
12.6,565.2,88,1,1
13.1,565.4,80,2,1
15.3,565.9,80,5,1
15.6,567.0,75,2,0
12.0,566.0,94,1,0
11.5,566.0,86,2,1
13.6,565.4,88,2,0
15.6,566.0,82,4,0
13.9,564.0,90,2,1
11.5,565.5,80,1,0
12.1,564.9,97,2,1
12.9,563.3,94,1,1
18.1,564.3,59,3,0
12.6,565.9,92,2,1
12.5,565.2,96,1,1
12.5,566.4,84,4,1
12.0,565.8,87,4,1
14.3,566.5,77,6,1
13.9,565.1,84,1,1
12.2,565.8,92,3,1
14.9,566.1,77,4,0
13.1,565.8,91,4,1
12.4,567.1,91,2,1
12.6,566.7,86,1,1
11.4,566.4,91,2,1
12.3,566.7,91,2,0
14.1,565.5,89,2,1
18.2,564.7,59,5,0
10.4,566.0,96,1,1
14.4,564.8,88,2,1
12.2,566.1,95,1,1
12.1,566.1,92,2,1
13.3,566.3,94,1,1
14.3,563.7,91,3,1
14.6,564.2,91,3,1
19.4,565.2,56,3,0
12.5,566.4,94,1,1
16.1,564.3,69,4,0
15.9,565.6,73,5,0
12.0,566.0,87,2,1
14.7,564.6,85,3,1
17.8,564.1,67,4,1
9.6,566.3,80,3,1
11.4,565.2,92,2,0
18.8,566.1,56,5,1
12.5,566.8,96,3,1
15.7,566.4,79,4,0
12.3,566.6,89,2,1
17.7,565.5,58,6,0
16.4,566.9,68,3,0
11.7,566.1,88,1,0
14.0,565.2,79,3,1
13.3,566.1,88,3,1
14.0,566.0,76,5,0
15.7,566.6,73,3,0
19.3,565.9,60,3,0
13.6,566.7,76,3,0
10.9,565.2,93,1,0
13.9,565.2,90,2,1
14.6,564.6,88,3,1
15.4,564.9,87,3,1
12.5,566.4,96,0,1
14.6,565.4,80,2,1
13.9,566.4,91,1,1
15.6,565.2,85,2,0
21.2,563.6,43,2,0
18.2,565.2,56,2,0
13.5,565.9,85,2,1
14.1,565.8,85,2,1
15.5,565.6,70,3,1
17.0,564.4,68,3,1
15.3,565.5,73,2,0
17.0,564.5,60,3,0
16.8,565.9,63,2,1
15.0,566.8,84,3,0
13.1,566.1,92,2,1
13.5,567.8,86,3,0
12.0,567.0,86,3,0
12.8,566.7,79,3,0
12.6,565.7,91,2,1
13.4,565.4,92,2,0
16.5,564.6,71,2,0
12.3,566.1,89,2,0
15.2,565.2,86,2,1
17.0,564.2,80,3,1
12.6,565.8,94,2,1
12.7,566.1,94,1,1
15.9,566.7,74,1,0
11.9,566.2,91,1,1
13.2,567.0,93,1,1
14.4,565.8,82,1,1
15.0,564.9,86,5,1
18.4,566.3,59,2,1
11.6,566.6,94,1,1
10.9,566.3,92,1,0
13.8,565.6,88,0,1
16.0,564.9,79,2,1
18.4,565.8,60,3,1
12.5,566.7,91,2,1
11.5,566.1,93,2,1
15.0,565.1,80,2,1
9.5,566.2,95,2,1
16.1,564.2,77,3,1
16.6,565.5,69,1,0
11.8,565.8,92,1,1
12.8,565.9,75,3,1
13.4,566.7,85,1,1
12.5,566.7,85,2,1
11.7,567.2,91,3,1
10.9,567.0,92,5,1
12.7,566.4,91,1,0
13.0,566.2,97,2,1
14.0,565.1,87,2,0
14.8,564.5,84,2,0
12.2,566.4,92,1,1
11.4,566.0,93,3,1
13.4,564.8,90,1,1
12.0,566.3,96,1,1
11.8,565.4,96,2,1
12.5,565.8,96,2,1
16.3,564.6,65,4,0
17.8,564.8,62,1,0
14.9,565.9,74,3,0
14.0,565.4,78,12,1
14.1,565.5,78,3,1
18.8,565.1,58,4,0
13.5,565.8,84,3,0
12.6,565.9,83,3,1
13.7,565.3,75,1,0
15.4,564.5,80,4,0
13.4,565.5,88,2,1
14.5,564.8,90,5,1
12.6,565.9,92,2,1
11.8,565.8,99,2,0
11.5,565.2,98,1,1
14.6,564.3,90,3,1
10.2,565.5,96,1,1
11.9,565.4,98,1,1
11.7,565.5,99,1,0
13.1,566.0,82,2,1
13.0,565.3,91,2,1
17.4,565.2,73,3,0
12.6,565.8,85,3,1
11.9,566.1,94,2,1
19.4,564.9,53,2,0
12.6,565.1,77,2,1
11.8,565.2,60,3,0
16.5,566.1,74,5,1
12.7,564.8,82,2,1
13.3,564.6,85,4,1
16.5,564.3,74,2,1
11.6,564.9,92,3,0
16.6,564.1,61,3,1
11.6,565.5,82,4,1
13.2,565.6,94,2,1
13.4,564.0,93,1,1
15.1,563.1,88,5,1
15.8,564.8,76,5,0
12.6,564.9,84,1,1
10.5,564.8,93,2,1
13.0,565.5,87,3,0
10.5,565.0,96,0,0
11.1,565.4,88,2,1
14.2,565.2,74,2,1
15.7,564.7,77,3,0
13.5,565.3,77,1,0
12.4,564.9,92,3,1
9.8,565.3,91,1,1
10.5,565.1,90,2,1
11.2,565.3,88,3,1
14.2,564.7,67,3,1
12.5,565.3,88,3,1
18.6,565.0,55,6,0
12.5,565.3,85,2,1
15.6,564.0,63,2,0
9.0,565.5,96,1,0
11.5,565.8,94,2,1
