fecha,hora
2020-01-01,19:00:00
2020-01-22,13:00:00
2020-01-22,10:00:00
2020-01-22,07:00:00
2020-01-25,19:00:00
2020-01-25,16:00:00
2020-01-26,07:00:00
2020-01-27,07:00:00
2020-01-27,01:00:00
2020-01-28,19:00:00
2020-01-28,16:00:00
2020-01-29,07:00:00
2020-01-30,19:00:00
2020-02-09,22:00:00
2020-02-09,19:00:00
2020-02-09,07:00:00
2020-02-10,07:00:00
2020-02-14,07:00:00
2020-02-19,10:00:00
2020-02-20,19:00:00
2020-02-21,07:00:00
2020-02-22,22:00:00
2020-02-23,22:00:00
2020-02-23,19:00:00
2020-02-23,16:00:00
2020-02-23,13:00:00
2020-02-23,07:00:00
2020-02-23,01:00:00
2020-02-24,07:00:00
2020-02-24,04:00:00
2020-02-24,01:00:00
2020-02-25,07:00:00
2020-02-26,13:00:00
2020-02-26,10:00:00
2020-02-26,07:00:00
2020-02-26,04:00:00
2020-02-27,16:00:00
2020-02-27,07:00:00
2020-02-28,07:00:00
2020-02-29,19:00:00
2020-02-29,16:00:00
2020-03-01,07:00:00
2020-03-02,22:00:00
2020-03-03,19:00:00
2020-03-03,16:00:00
2020-03-03,07:00:00
2020-03-04,07:00:00
2020-03-08,19:00:00
2020-03-09,07:00:00
2020-03-09,01:00:00
2020-03-10,19:00:00
2020-03-11,13:00:00
2020-03-11,10:00:00
2020-03-11,07:00:00
2020-03-12,07:00:00
2020-03-13,19:00:00
2020-03-13,16:00:00
2020-03-13,07:00:00
2020-03-14,22:00:00
2020-03-15,22:00:00
2020-03-15,13:00:00
2020-03-15,10:00:00
2020-03-15,07:00:00
2020-03-15,04:00:00
2020-03-15,01:00:00
2020-03-16,07:00:00
2020-03-16,01:00:00
2020-03-20,13:00:00
2020-03-20,10:00:00
2020-03-20,07:00:00
2020-03-21,07:00:00
2020-03-24,19:00:00
2020-03-24,13:00:00
2020-03-25,19:00:00
2020-03-25,07:00:00
2020-03-26,07:00:00
2020-03-28,04:00:00
2020-03-31,13:00:00
2020-04-02,07:00:00
2020-04-02,04:00:00
2020-04-07,07:00:00
2020-04-07,04:00:00
2020-04-07,01:00:00
2020-04-08,19:00:00
2020-04-09,07:00:00
2020-04-12,07:00:00
2020-04-12,01:00:00
2020-04-16,22:00:00
2020-04-17,07:00:00
2020-04-17,01:00:00
2020-04-19,22:00:00
2020-04-19,19:00:00
2020-04-19,16:00:00
2020-04-20,07:00:00
2020-04-21,16:00:00
2020-04-21,07:00:00
2020-04-21,01:00:00
2020-04-22,22:00:00
2020-04-22,19:00:00
2020-04-22,16:00:00
2020-04-22,13:00:00
2020-04-22,07:00:00
2020-04-23,16:00:00
2020-04-23,13:00:00
2020-04-23,07:00:00
2020-04-25,19:00:00
2020-04-25,16:00:00
2020-04-26,07:00:00
2020-04-27,04:00:00
2020-05-01,13:00:00
2020-05-01,07:00:00
2020-05-02,13:00:00
2020-05-02,07:00:00
2020-05-03,13:00:00
2020-05-03,10:00:00
2020-05-03,07:00:00
2020-05-04,07:00:00
2020-05-07,07:00:00
2020-05-08,19:00:00
2020-05-08,10:00:00
2020-05-09,13:00:00
2020-05-09,07:00:00
2020-05-11,04:00:00
2020-05-12,19:00:00
2020-05-12,16:00:00
2020-05-12,13:00:00
2020-05-13,07:00:00
2020-05-14,19:00:00
2020-05-15,22:00:00
2020-05-15,19:00:00
2020-05-15,16:00:00
2020-05-15,13:00:00
2020-05-15,07:00:00
2020-05-16,01:00:00
2020-05-17,19:00:00
2020-05-17,16:00:00
2020-05-19,19:00:00
2020-05-19,16:00:00
2020-05-19,13:00:00
2020-05-19,10:00:00
2020-05-19,07:00:00
2020-05-22,22:00:00
2020-05-23,07:00:00
